,NOSE_x,NOSE_y,NOSE_z,NOSE_vis,LEFT_EYE_INNER_x,LEFT_EYE_INNER_y,LEFT_EYE_INNER_z,LEFT_EYE_INNER_vis,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,LEFT_EYE_vis,LEFT_EYE_OUTER_x,LEFT_EYE_OUTER_y,LEFT_EYE_OUTER_z,LEFT_EYE_OUTER_vis,RIGHT_EYE_INNER_x,RIGHT_EYE_INNER_y,RIGHT_EYE_INNER_z,RIGHT_EYE_INNER_vis,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,RIGHT_EYE_vis,RIGHT_EYE_OUTER_x,RIGHT_EYE_OUTER_y,RIGHT_EYE_OUTER_z,RIGHT_EYE_OUTER_vis,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,LEFT_EAR_vis,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,RIGHT_EAR_vis,MOUTH_LEFT_x,MOUTH_LEFT_y,MOUTH_LEFT_z,MOUTH_LEFT_vis,MOUTH_RIGHT_x,MOUTH_RIGHT_y,MOUTH_RIGHT_z,MOUTH_RIGHT_vis,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,LEFT_SHOULDER_vis,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,RIGHT_SHOULDER_vis,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,LEFT_ELBOW_vis,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,RIGHT_ELBOW_vis,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,LEFT_WRIST_vis,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,RIGHT_WRIST_vis,LEFT_PINKY_x,LEFT_PINKY_y,LEFT_PINKY_z,LEFT_PINKY_vis,RIGHT_PINKY_x,RIGHT_PINKY_y,RIGHT_PINKY_z,RIGHT_PINKY_vis,LEFT_INDEX_x,LEFT_INDEX_y,LEFT_INDEX_z,LEFT_INDEX_vis,RIGHT_INDEX_x,RIGHT_INDEX_y,RIGHT_INDEX_z,RIGHT_INDEX_vis,LEFT_THUMB_x,LEFT_THUMB_y,LEFT_THUMB_z,LEFT_THUMB_vis,RIGHT_THUMB_x,RIGHT_THUMB_y,RIGHT_THUMB_z,RIGHT_THUMB_vis,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,LEFT_HIP_vis,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,RIGHT_HIP_vis,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,LEFT_KNEE_vis,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,RIGHT_KNEE_vis,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,LEFT_ANKLE_vis,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,RIGHT_ANKLE_vis,LEFT_HEEL_x,LEFT_HEEL_y,LEFT_HEEL_z,LEFT_HEEL_vis,RIGHT_HEEL_x,RIGHT_HEEL_y,RIGHT_HEEL_z,RIGHT_HEEL_vis,LEFT_FOOT_INDEX_x,LEFT_FOOT_INDEX_y,LEFT_FOOT_INDEX_z,LEFT_FOOT_INDEX_vis,RIGHT_FOOT_INDEX_x,RIGHT_FOOT_INDEX_y,RIGHT_FOOT_INDEX_z,RIGHT_FOOT_INDEX_vis,Label
850,0.605603814,0.319193423,-0.20642288,0.99810034,0.608059824,0.310672283,-0.205325037,0.997992635,0.609513283,0.31010896,-0.20535934,0.997332275,0.611124337,0.309465349,-0.205424458,0.997953832,0.605431914,0.311435431,-0.19111982,0.997705221,0.604999125,0.311453372,-0.191150874,0.997034192,0.604542494,0.311526269,-0.191176564,0.997456014,0.618112624,0.310576379,-0.176186383,0.996024907,0.608834684,0.313640445,-0.112145051,0.997549593,0.610514641,0.32836318,-0.194431201,0.997878611,0.607023001,0.328349173,-0.175742164,0.996823311,0.636744022,0.354124337,-0.182597443,0.99587369,0.619848311,0.354695052,-0.012465692,0.996702135,0.644963205,0.422837079,-0.19504571,0.647805631,0.635336161,0.415700734,0.028201744,0.794347048,0.63497138,0.466629207,-0.192457482,0.706280947,0.631715536,0.464766622,-0.029020432,0.791891694,0.633384168,0.483529836,-0.213552043,0.663002789,0.629948974,0.47887674,-0.034347523,0.762969553,0.631184936,0.479009658,-0.215910867,0.654188931,0.626103759,0.482266873,-0.0579459,0.759030342,0.631554067,0.473943383,-0.193078563,0.629797876,0.628363252,0.477003217,-0.040327735,0.739506125,0.678036034,0.438127339,-0.056946624,0.999597192,0.661041558,0.439728856,0.057068773,0.999225736,0.65565604,0.529358506,-0.138866767,0.874623299,0.646521449,0.519944549,0.006232489,0.876209438,0.660642028,0.629248381,-0.139962375,0.90962261,0.65179044,0.616473794,0.050996996,0.837914705,0.670773208,0.649236917,-0.144044459,0.865630031,0.654744804,0.623623729,0.05237072,0.704735219,0.636576056,0.643802106,-0.210229516,0.918660522,0.629231393,0.632027149,0.011629293,0.861974955,Cover Drive
851,0.605210423,0.320215732,-0.195479825,0.99827522,0.607312739,0.310882211,-0.193891197,0.998183072,0.608707845,0.310282737,-0.193930924,0.997585952,0.610285163,0.309626788,-0.193997011,0.998148382,0.604753494,0.311895669,-0.179775864,0.997924864,0.604313433,0.311967194,-0.179810345,0.997317135,0.60385251,0.312063694,-0.179829985,0.997698486,0.617147505,0.310916096,-0.163398892,0.996407688,0.607906818,0.313772678,-0.100736044,0.997766793,0.610121965,0.328659326,-0.183204964,0.998070836,0.606745601,0.329102844,-0.164930671,0.997108042,0.636327803,0.354054749,-0.17235136,0.99627763,0.618089557,0.354722977,0.001584136,0.996975541,0.64498508,0.422901541,-0.179550529,0.679743946,0.632448196,0.413115233,0.052653898,0.722127736,0.632663369,0.465746701,-0.16905573,0.72065264,0.630035818,0.45773527,0.009389801,0.722343802,0.630881429,0.479229808,-0.189926475,0.674976349,0.627623081,0.469806373,0.006135379,0.698292434,0.627242684,0.475785136,-0.191895753,0.666820705,0.62606442,0.469171554,-0.016079055,0.695324183,0.628429592,0.470995158,-0.169433206,0.634103119,0.628274024,0.464055181,-0.001000528,0.678511739,0.677978218,0.436868846,-0.056816824,0.999603868,0.660817981,0.439236879,0.056952249,0.999203384,0.655599296,0.528234422,-0.144126877,0.869109094,0.648424268,0.520239115,-0.027332628,0.825447977,0.660657883,0.629235148,-0.14754656,0.914472759,0.652346194,0.616769433,-0.000556522,0.799745679,0.670889616,0.648848534,-0.151442662,0.873565793,0.659003258,0.628975213,-0.000988038,0.69393605,0.637445092,0.648802102,-0.216752097,0.922947109,0.629855871,0.631911576,-0.0474158,0.844692767,Cover Drive
852,0.605155647,0.321100205,-0.198475093,0.998429656,0.607107222,0.311066359,-0.197095871,0.998351812,0.608519137,0.310419053,-0.197133273,0.997810602,0.610117435,0.309734523,-0.197198719,0.998320341,0.604486585,0.3122513,-0.18294248,0.998120964,0.60400629,0.312362552,-0.182974473,0.997569382,0.603507161,0.312475532,-0.182996288,0.997914433,0.616805136,0.311080635,-0.165095538,0.996747553,0.607227981,0.313944608,-0.103954837,0.997953534,0.610099196,0.329072207,-0.186130553,0.998236895,0.606690228,0.330033034,-0.167899445,0.997355998,0.636097133,0.354035616,-0.172170788,0.99663645,0.617088914,0.354638904,-0.001304895,0.997217417,0.645030618,0.423277169,-0.174651563,0.707550049,0.630910575,0.411760598,0.048089623,0.657841682,0.631203353,0.465754032,-0.160309732,0.731534958,0.629150152,0.455149978,0.002511335,0.661312103,0.628850102,0.478473395,-0.179801941,0.684136212,0.62653482,0.467466682,-0.000849669,0.641904891,0.625654817,0.474985421,-0.182252556,0.676780343,0.625952125,0.466431499,-0.023100978,0.639943361,0.627148867,0.470266312,-0.160659999,0.63695085,0.62812525,0.46106708,-0.00780325,0.625619769,0.677925467,0.435948521,-0.056336693,0.999605894,0.66046679,0.439067632,0.056478608,0.999171555,0.655604482,0.527240813,-0.143850967,0.865599632,0.649000168,0.520406365,-0.020950962,0.780362308,0.660475075,0.629148543,-0.145960599,0.91931659,0.652451873,0.616877675,0.0067634,0.768883705,0.670893848,0.64861089,-0.150008231,0.881064296,0.660198987,0.631726205,0.006448679,0.685689211,0.637535512,0.64632982,-0.215665013,0.927065432,0.630199313,0.631906867,-0.039618127,0.830709279,Cover Drive
853,0.602378368,0.320967406,-0.149304092,0.998563945,0.604507744,0.311048448,-0.147209376,0.99849987,0.605889916,0.31035766,-0.147245854,0.998005033,0.607461095,0.3096461,-0.147290975,0.998468459,0.601854622,0.312351108,-0.133302838,0.998297155,0.601335287,0.312595934,-0.133329898,0.99779588,0.600797415,0.312862575,-0.133361235,0.998108447,0.614413619,0.311122924,-0.117151424,0.997037888,0.604644716,0.314396381,-0.055796295,0.998117268,0.607473969,0.328974724,-0.137609988,0.998360634,0.604042411,0.329960525,-0.119685873,0.997557342,0.631863952,0.353791296,-0.135831684,0.996927202,0.617265344,0.354645789,0.043441571,0.997365713,0.642520666,0.423395187,-0.133303314,0.727193713,0.631145775,0.412921697,0.07823588,0.597610414,0.625508189,0.462586522,-0.110635385,0.723897874,0.621446073,0.454731315,0.008739817,0.607110858,0.62041074,0.472672582,-0.126840383,0.674480796,0.616929889,0.466124475,0.004572491,0.592636406,0.618332326,0.466663271,-0.127652571,0.66823566,0.616237164,0.46465525,-0.016888162,0.591850698,0.62076056,0.462717056,-0.110054746,0.621336699,0.618421614,0.459970981,-0.002144828,0.579900801,0.676187873,0.435857236,-0.059227653,0.999572814,0.661560893,0.437884867,0.059314251,0.999098778,0.652624488,0.527332544,-0.119775452,0.866468608,0.648983657,0.520741224,-0.001044972,0.733294547,0.660074711,0.629081368,-0.119550586,0.923904419,0.653353572,0.616844237,0.021386921,0.739361763,0.670740068,0.648454607,-0.122252263,0.888624609,0.663099408,0.631837785,0.022291433,0.679551125,0.637206376,0.644141376,-0.173418865,0.930712163,0.63118732,0.631652355,-0.020748848,0.814590633,Cover Drive
854,0.600435734,0.320933163,-0.092031345,0.998702765,0.602337062,0.311165273,-0.096429728,0.998646736,0.60364151,0.310417175,-0.096451886,0.998200238,0.604994774,0.309682131,-0.096485972,0.998617947,0.599951386,0.312644273,-0.079309441,0.998465359,0.599532962,0.312957406,-0.079322018,0.998013854,0.599117517,0.313273519,-0.079344615,0.998295307,0.611915171,0.311168671,-0.091552839,0.99732995,0.603636801,0.314550012,-0.016468208,0.99830097,0.605675876,0.329002827,-0.089450382,0.99851656,0.602732003,0.330021948,-0.067510024,0.997791588,0.629543185,0.352796763,-0.115867302,0.997223318,0.617065907,0.353876948,0.070444688,0.997588158,0.640624523,0.417158961,-0.083887808,0.747408032,0.630621612,0.410419732,0.08312887,0.547702014,0.627316236,0.44703576,-0.010404595,0.726231158,0.622275949,0.445142776,-0.000828207,0.566425681,0.623561084,0.454907238,-0.0175496,0.675491154,0.619907975,0.457525343,-0.004524216,0.556931794,0.620855153,0.447072446,-0.018452726,0.669450998,0.618017614,0.45125851,-0.023017645,0.556907237,0.623087049,0.445024669,-0.008002328,0.617426753,0.620201945,0.446318388,-0.010834387,0.546041965,0.675211787,0.435536712,-0.062790349,0.999586344,0.662573218,0.435970992,0.062893614,0.999119282,0.650326133,0.5286569,-0.111023746,0.875760972,0.648871839,0.520395935,0.04950954,0.695135117,0.660076618,0.628847063,-0.111598827,0.930325925,0.654512763,0.615329802,0.082022369,0.72367686,0.670864284,0.647148073,-0.114159547,0.898491502,0.666123092,0.629398823,0.083066031,0.68547523,0.637197971,0.642319798,-0.159815952,0.936338186,0.632737577,0.629346788,0.058007084,0.807283103,Cover Drive
855,0.600067496,0.32092908,-0.092175499,0.998828292,0.601932287,0.311183691,-0.095979512,0.998779476,0.60322094,0.310418397,-0.096002989,0.998376608,0.604531109,0.309682131,-0.096040055,0.998753071,0.599535346,0.312769741,-0.079477593,0.998617113,0.599103272,0.313117057,-0.079490952,0.99821043,0.598674357,0.313474178,-0.079512432,0.998463869,0.611298561,0.311162204,-0.089009181,0.997593582,0.60337019,0.314564586,-0.016712083,0.998467088,0.605350137,0.329058111,-0.088778988,0.998657823,0.602481246,0.330146134,-0.067693397,0.998004138,0.628942311,0.352268696,-0.112713613,0.997488856,0.617160976,0.353629202,0.071219876,0.997787774,0.63983053,0.415893644,-0.07743337,0.763662219,0.630071282,0.409802169,0.080239005,0.500791848,0.628264308,0.443273455,-0.000334253,0.721791923,0.62221843,0.442487538,-0.002255543,0.526653826,0.622009397,0.449459344,-0.00634498,0.670878947,0.62028867,0.454475403,-0.007301082,0.522249162,0.620827079,0.441146642,-0.007999438,0.665140212,0.618464768,0.449609846,-0.028805921,0.522834957,0.624156713,0.44148156,0.001915019,0.608512282,0.620883167,0.443827391,-0.014694063,0.512983143,0.674906731,0.435121804,-0.062987939,0.99959904,0.66347146,0.435023069,0.063093029,0.999140441,0.649439871,0.528877914,-0.110542282,0.88379854,0.648823202,0.520346165,0.048257098,0.661473811,0.660070896,0.628209114,-0.11224778,0.936035156,0.654968798,0.614057302,0.078968182,0.710563004,0.670904577,0.645530045,-0.114924371,0.907295167,0.667991757,0.626301289,0.079817891,0.691582084,0.637170672,0.641302347,-0.161052763,0.941335797,0.633225143,0.628276706,0.054489296,0.801348209,Cover Drive
856,0.595831335,0.324058115,-0.046588127,0.99893719,0.597378314,0.315441012,-0.056718301,0.998896301,0.59824872,0.314968079,-0.056729335,0.998532951,0.599113584,0.314487338,-0.056763612,0.998873472,0.596025348,0.316039115,-0.038409658,0.998751521,0.595990062,0.315994114,-0.038430262,0.998385429,0.595920742,0.315988123,-0.038459346,0.998614013,0.606109083,0.314395487,-0.075881556,0.997828722,0.601511478,0.316541702,0.003711601,0.998612225,0.60097301,0.331212819,-0.052927155,0.998783708,0.598916888,0.331948757,-0.029739102,0.998191833,0.624541759,0.352754205,-0.113149785,0.997732997,0.617236733,0.350411266,0.075691439,0.997970223,0.637045503,0.416291296,-0.080230184,0.778800726,0.629478455,0.407977879,0.078381412,0.455328256,0.623488784,0.436517,0.018486511,0.715221405,0.622318149,0.428573787,-0.041388713,0.480200559,0.619942188,0.441314369,0.014210127,0.663903177,0.619878531,0.433084279,-0.045524102,0.478560984,0.617528021,0.433379292,0.014686128,0.65857029,0.618352354,0.427255929,-0.053777236,0.478904277,0.619393885,0.430970222,0.021843512,0.597786188,0.61983335,0.424116015,-0.047896761,0.469968736,0.673138499,0.435095161,-0.06458649,0.999627292,0.663362265,0.432432652,0.064668491,0.99919045,0.643250048,0.525185406,-0.116043068,0.893671274,0.64117676,0.514240324,0.066599734,0.639533401,0.659101248,0.622513413,-0.118251696,0.941871226,0.654660344,0.608356655,0.10720253,0.7024737,0.669792771,0.636197984,-0.122569837,0.915579557,0.66607368,0.612786889,0.109264411,0.696524441,0.636585832,0.640427649,-0.169676751,0.946524203,0.632696211,0.625766575,0.092867255,0.795915008,Cover Drive
857,0.593782961,0.3280586,-0.042664755,0.999034464,0.595041871,0.319361091,-0.052633189,0.999001145,0.595908701,0.318808436,-0.052645355,0.998673439,0.596755266,0.318235874,-0.05268275,0.998981535,0.593759418,0.319790989,-0.034375805,0.998871803,0.593773901,0.3195692,-0.034394138,0.998542249,0.593770385,0.319378018,-0.03441773,0.998748302,0.603830814,0.317091644,-0.071536072,0.998040378,0.599495113,0.319639415,0.008175043,0.998741508,0.599129558,0.334915429,-0.048968408,0.99889791,0.597102582,0.33560136,-0.02581965,0.998359799,0.622681141,0.352764189,-0.109880492,0.997951508,0.616953492,0.350498021,0.077975743,0.998107195,0.635459602,0.417022675,-0.081012331,0.790019274,0.629726291,0.408286065,0.07559298,0.412373066,0.623185992,0.431417376,0.015139565,0.704307497,0.623079777,0.424360812,-0.046922244,0.435433537,0.619557977,0.436937749,0.011002724,0.653935969,0.620725989,0.428717583,-0.052479059,0.435947239,0.617279172,0.428786695,0.010969379,0.649795651,0.618972063,0.422374427,-0.059589732,0.43614015,0.618293941,0.426645607,0.018299447,0.586189091,0.620547831,0.419467151,-0.053041257,0.428118646,0.671954036,0.435111821,-0.065485939,0.999647915,0.661961377,0.432862341,0.065572225,0.999226868,0.639689505,0.521079242,-0.118660368,0.902471066,0.633907199,0.508552313,0.057485532,0.620324671,0.656450093,0.6195333,-0.119339429,0.9470976,0.652724862,0.606348157,0.099690512,0.697409689,0.666559339,0.631560206,-0.121019319,0.922969222,0.663846791,0.609046638,0.101824008,0.70234251,0.635236919,0.639770567,-0.159154907,0.951178908,0.632360339,0.62555021,0.084100701,0.792407334,Cover Drive
858,0.593519509,0.330390453,-0.033097766,0.999122083,0.594473243,0.321484089,-0.043203868,0.999095738,0.595279813,0.320879608,-0.04321821,0.99879992,0.59605515,0.320274621,-0.043255933,0.999078929,0.593315065,0.32194221,-0.025202487,0.998980403,0.593355775,0.321676791,-0.025218833,0.998683572,0.593386471,0.321440309,-0.025244772,0.998869538,0.602933705,0.318653733,-0.062268078,0.998231113,0.599128962,0.321204334,0.01627914,0.998859048,0.59889096,0.336997122,-0.039363347,0.999000549,0.597011089,0.337890804,-0.016548749,0.998511553,0.621966004,0.352825344,-0.102851152,0.998149157,0.617001593,0.350307643,0.085310005,0.998239756,0.635818839,0.417121261,-0.078416429,0.800061107,0.630369246,0.408573329,0.065589651,0.373838216,0.623188794,0.431625843,0.015715616,0.693635821,0.623406053,0.42460078,-0.042438261,0.395079881,0.619382799,0.437239408,0.011766326,0.643536329,0.62103945,0.429579616,-0.047882013,0.397463262,0.617185473,0.428967297,0.0124411,0.640159786,0.619176328,0.423245996,-0.055269308,0.397478491,0.61808461,0.426782578,0.019110264,0.573973179,0.620527685,0.420162499,-0.048635524,0.390248388,0.671270669,0.435155392,-0.065774389,0.999666691,0.661876321,0.433039248,0.065861553,0.999262035,0.638439417,0.519972563,-0.114267029,0.910371542,0.632824183,0.50736475,0.057990164,0.604448855,0.655426681,0.618159354,-0.11432936,0.951809585,0.651693165,0.605824769,0.096393809,0.692469597,0.665602863,0.629973233,-0.115115955,0.929691732,0.662398219,0.609608173,0.09826757,0.707509935,0.634404898,0.639229119,-0.149616823,0.95538342,0.632024705,0.625333369,0.082130238,0.787827373,Cover Drive
859,0.591038942,0.333291799,-0.034359939,0.99920249,0.592127264,0.323642045,-0.045164861,0.999182463,0.592964768,0.322989047,-0.045168638,0.99891603,0.593765676,0.322352946,-0.045208268,0.999167979,0.591134906,0.323942095,-0.026586458,0.999078751,0.591247737,0.323563099,-0.026597485,0.998811424,0.591325939,0.323212951,-0.026608607,0.998978913,0.600655556,0.320501655,-0.065642692,0.998404562,0.59695667,0.323022544,0.015598537,0.998966038,0.596780896,0.339957863,-0.041093014,0.999095321,0.594948649,0.340545058,-0.017496902,0.998651505,0.619716465,0.354454577,-0.103557445,0.998330176,0.617030978,0.349463999,0.088659517,0.998370826,0.631478667,0.421559095,-0.073587842,0.808353722,0.629754543,0.408796102,0.066574864,0.3382231,0.619375765,0.427805483,0.027880069,0.692694843,0.621646523,0.422733426,-0.03533189,0.358216792,0.614419818,0.430367142,0.025304992,0.643315494,0.61895448,0.426182389,-0.039678771,0.362107873,0.613166094,0.422067672,0.025184941,0.641016781,0.617772579,0.420649111,-0.04670056,0.3619138,0.614914894,0.421556205,0.031297706,0.572088659,0.619038761,0.417902887,-0.042431615,0.355510175,0.670309126,0.434649795,-0.06614802,0.999686718,0.661937773,0.43167147,0.066236198,0.999303043,0.635743022,0.516900361,-0.111041091,0.918038726,0.630399108,0.505895793,0.060015935,0.590584755,0.652135253,0.615105391,-0.113679372,0.95605588,0.649229646,0.604885936,0.088598013,0.684634447,0.662185073,0.627429307,-0.1148201,0.935548007,0.658665895,0.604018092,0.089493699,0.709743261,0.633269012,0.638978362,-0.147786781,0.959162891,0.630774856,0.625555873,0.07317701,0.783972263,Cover Drive
