,F0_x,F0_y,F0_z,F0_vis,F1_x,F1_y,F1_z,F1_vis,F2_x,F2_y,F2_z,F2_vis,F3_x,F3_y,F3_z,F3_vis,F4_x,F4_y,F4_z,F4_vis,F5_x,F5_y,F5_z,F5_vis,F6_x,F6_y,F6_z,F6_vis,F7_x,F7_y,F7_z,F7_vis,F8_x,F8_y,F8_z,F8_vis,F9_x,F9_y,F9_z,F9_vis,F10_x,F10_y,F10_z,F10_vis,F11_x,F11_y,F11_z,F11_vis,F12_x,F12_y,F12_z,F12_vis,F13_x,F13_y,F13_z,F13_vis,F14_x,F14_y,F14_z,F14_vis,F15_x,F15_y,F15_z,F15_vis,F16_x,F16_y,F16_z,F16_vis,F17_x,F17_y,F17_z,F17_vis,F18_x,F18_y,F18_z,F18_vis,F19_x,F19_y,F19_z,F19_vis,F20_x,F20_y,F20_z,F20_vis,F21_x,F21_y,F21_z,F21_vis,F22_x,F22_y,F22_z,F22_vis,F23_x,F23_y,F23_z,F23_vis,F24_x,F24_y,F24_z,F24_vis,F25_x,F25_y,F25_z,F25_vis,F26_x,F26_y,F26_z,F26_vis,F27_x,F27_y,F27_z,F27_vis,F28_x,F28_y,F28_z,F28_vis,F29_x,F29_y,F29_z,F29_vis,F30_x,F30_y,F30_z,F30_vis,F31_x,F31_y,F31_z,F31_vis,F32_x,F32_y,F32_z,F32_vis,Label
886,0.440814435,0.383232683,-0.041890811,0.999177992,0.440826595,0.375211149,-0.041578908,0.998731494,0.441794813,0.373660862,-0.041608807,0.998649597,0.442918062,0.371698916,-0.041651145,0.998869956,0.438680947,0.378627121,-0.037860706,0.998466969,0.437899113,0.37875846,-0.037860893,0.998451948,0.437082827,0.378575206,-0.037886046,0.998632133,0.44600296,0.367836177,-0.02806739,0.998563588,0.437301874,0.376753449,-0.008244889,0.997400045,0.443981558,0.386509299,-0.034764946,0.99939853,0.441452563,0.390212476,-0.029757509,0.999028385,0.46152705,0.391051561,-0.011062527,0.999690771,0.440335274,0.393581867,0.002129454,0.999330819,0.481705099,0.443486333,-0.02618539,0.854957104,0.449610531,0.460840166,-0.005542484,0.866303504,0.468532801,0.483249873,-0.058368705,0.783679366,0.453189909,0.508299708,-0.03146949,0.844404042,0.4695355,0.505103111,-0.067232005,0.740413308,0.452649355,0.522797227,-0.037965752,0.817392647,0.465066969,0.503832042,-0.066291705,0.742011607,0.454025835,0.522931874,-0.043448251,0.817735195,0.464592278,0.500151575,-0.058121096,0.704955161,0.45534572,0.518116415,-0.034262471,0.782566309,0.473564863,0.477551252,-0.004872704,0.999708295,0.45436734,0.482551634,0.004933052,0.999447823,0.476445198,0.487182468,-0.129260764,0.952747941,0.449604452,0.498797894,-0.10966742,0.941714704,0.458218098,0.5274809,-0.09480574,0.905809879,0.456340551,0.5552876,-0.098594889,0.924855769,0.456145436,0.529537201,-0.091273442,0.816563249,0.457746416,0.56274581,-0.096544147,0.843987048,0.451493174,0.543129742,-0.115198433,0.920589685,0.458462149,0.569539249,-0.126090884,0.942132473,Flick
887,0.439443588,0.382092357,-0.061961222,0.999064028,0.439184725,0.372590542,-0.063387364,0.99853152,0.439888626,0.370694429,-0.063405469,0.998501897,0.440642536,0.368714064,-0.063423306,0.998704195,0.437609494,0.375866175,-0.056527935,0.998131275,0.437157393,0.376193643,-0.056533445,0.998098791,0.436721414,0.376351476,-0.056560777,0.998243928,0.444011509,0.363972336,-0.053250503,0.998274446,0.438948244,0.371740937,-0.01909605,0.996139884,0.442018688,0.381798655,-0.055959392,0.999153554,0.440536112,0.387860447,-0.047209244,0.998274028,0.458140552,0.380908936,-0.05065326,0.999693334,0.443392664,0.396621287,0.006998491,0.999256611,0.47043699,0.43067202,-0.060559284,0.857572079,0.449521393,0.457178116,0.015805457,0.81013304,0.462320894,0.482375026,-0.073644102,0.783637047,0.449281126,0.485827446,-0.012777662,0.791927397,0.461901516,0.497473925,-0.082272112,0.736404419,0.449667126,0.495974898,-0.014911343,0.766252518,0.458704621,0.495770514,-0.082227066,0.737165153,0.448556721,0.492327064,-0.024115555,0.767316282,0.458471358,0.490760535,-0.073309131,0.696893334,0.449106544,0.488430083,-0.017209338,0.734431982,0.472661108,0.470532477,-0.016476583,0.999561369,0.462463319,0.482233047,0.016503174,0.999278784,0.46566233,0.490666389,-0.102750756,0.942337871,0.453484625,0.516133726,-0.02297923,0.916139424,0.461084366,0.54548496,-0.065271489,0.886780322,0.455565631,0.565326095,0.001165347,0.904966235,0.461983681,0.554396152,-0.061942481,0.805016458,0.456281006,0.579297245,0.003030069,0.82611084,0.457452118,0.559742808,-0.089461319,0.907731891,0.446998417,0.583099186,-0.022315005,0.925547481,Flick
888,0.438172728,0.37441662,-0.056001414,0.998895109,0.438982964,0.364815444,-0.053782005,0.998051584,0.44018364,0.363466799,-0.053798884,0.99802655,0.441458374,0.362119317,-0.053801395,0.998354614,0.436325938,0.367380261,-0.049458601,0.997605741,0.435629368,0.367821813,-0.049479309,0.997365057,0.434950829,0.368258178,-0.049523599,0.997560143,0.445600182,0.360973984,-0.041903414,0.997369587,0.437450647,0.366560459,-0.014799751,0.992370248,0.441975832,0.376431108,-0.048207618,0.99896729,0.439033687,0.380029738,-0.042526662,0.997762144,0.460840702,0.38338244,-0.029995367,0.999685466,0.441685438,0.395734459,0.00453602,0.999255538,0.474291414,0.427399725,-0.047811825,0.864306808,0.447112978,0.447624564,0.002955857,0.772027314,0.461645305,0.474773347,-0.075336747,0.789612889,0.450774282,0.483293474,-0.026718799,0.747320771,0.461806059,0.496199667,-0.085046455,0.739616513,0.45030427,0.500671148,-0.033335879,0.723125696,0.457621992,0.494689405,-0.086547703,0.74047792,0.449421406,0.497155458,-0.039504521,0.724395931,0.457631171,0.489605069,-0.075691119,0.697730958,0.451210976,0.491393417,-0.029788693,0.691095054,0.47409758,0.46672222,-0.007157153,0.99950546,0.460539192,0.482433677,0.007198155,0.999173582,0.468366951,0.47182411,-0.139876992,0.916090369,0.457587183,0.520235121,-0.056832708,0.881002843,0.454639137,0.527680933,-0.14803046,0.835022032,0.459279686,0.584725618,-0.027114615,0.849549115,0.453782797,0.534320116,-0.147635445,0.779776573,0.462658077,0.598436832,-0.027210701,0.784358382,0.447712988,0.543313682,-0.178093761,0.88130343,0.45485726,0.595340669,-0.066734798,0.878967822,Flick
889,0.438177437,0.375880361,-0.075601436,0.998961687,0.438597977,0.365935355,-0.066106886,0.998163581,0.439584434,0.364360452,-0.0662321,0.998145401,0.440633833,0.362825304,-0.066281304,0.998455405,0.436598212,0.368897855,-0.067701198,0.997739673,0.436173767,0.369363964,-0.067716375,0.997506857,0.435764551,0.369806468,-0.067743413,0.997683227,0.444459766,0.360931337,-0.061714701,0.997530043,0.438404381,0.367350072,-0.032995481,0.992561579,0.441935539,0.377082944,-0.065963224,0.999027073,0.439514875,0.380818248,-0.050420016,0.997811854,0.461166918,0.382125437,-0.060645245,0.999691069,0.443492711,0.395029128,8.31E-05,0.999209166,0.472824425,0.429042488,-0.071958408,0.874073982,0.449622244,0.445807338,0.007872239,0.734030187,0.460233927,0.473879069,-0.087948322,0.802210271,0.452309132,0.480668008,-0.024397057,0.71695894,0.460672915,0.493144631,-0.094025336,0.751641273,0.451977581,0.495633245,-0.02944015,0.693777502,0.455754817,0.48626703,-0.100323558,0.752927601,0.451206386,0.493670881,-0.037897281,0.695318758,0.457275093,0.484698415,-0.083403125,0.708869874,0.451760113,0.486139834,-0.028462624,0.661297202,0.4757182,0.457765907,-0.016713182,0.9994784,0.463109076,0.470227033,0.016717736,0.999127865,0.462996781,0.502556026,-0.134881124,0.904236436,0.456909746,0.517440557,-0.019873414,0.847237527,0.456274182,0.562088609,-0.089121632,0.817268908,0.459389031,0.585568011,0.024557116,0.825597465,0.457029641,0.56690526,-0.084623605,0.772655725,0.461856186,0.593935311,0.027587276,0.764877379,0.450304568,0.586696088,-0.114910819,0.870082736,0.454318136,0.600386381,-0.002819306,0.855497241,Flick
890,0.437541902,0.370741785,-0.084969804,0.999053776,0.438346058,0.362131715,-0.084536493,0.998328328,0.439370304,0.360695004,-0.084555306,0.99831295,0.440536171,0.359257489,-0.084575124,0.998595655,0.436244577,0.36519441,-0.078209907,0.997940302,0.435758173,0.365837634,-0.078237556,0.997727036,0.435286909,0.366425782,-0.078261241,0.997887671,0.444654047,0.358025014,-0.071020141,0.99775809,0.437590778,0.365895003,-0.042533439,0.993216097,0.441213042,0.373487324,-0.080658399,0.999115646,0.438510656,0.377050251,-0.070572533,0.997999191,0.460606515,0.382580131,-0.072802797,0.999717236,0.443571895,0.397841096,-0.003461578,0.999248266,0.471965551,0.430364907,-0.083774447,0.885691285,0.449184507,0.448148578,0.008001651,0.700080752,0.458074808,0.476626545,-0.096039183,0.817509651,0.450484574,0.484622627,-0.027072698,0.68110013,0.456868649,0.492881984,-0.104698621,0.767601728,0.451755464,0.499553084,-0.032976199,0.656369627,0.453472048,0.490169585,-0.104402408,0.769005418,0.450678438,0.497982144,-0.042578734,0.65809387,0.453945816,0.4850972,-0.094391704,0.724790692,0.45054692,0.49257648,-0.031904195,0.62631315,0.476117671,0.455999255,-0.022479139,0.999495089,0.465001285,0.466663569,0.022492096,0.999139607,0.459945768,0.501899958,-0.105789259,0.896759927,0.455218703,0.515655994,-0.028061364,0.806225061,0.462352604,0.578585625,-0.066782966,0.819873273,0.46077323,0.582120419,0.006691263,0.799991131,0.464717925,0.588567615,-0.063959762,0.778684676,0.463559777,0.59115243,0.008654254,0.745342374,0.455458462,0.594500899,-0.095537603,0.869738698,0.450006813,0.596848547,-0.021845277,0.835064888,Flick
891,0.437366098,0.373625636,-0.079425164,0.999132752,0.438004881,0.365249485,-0.081936002,0.998473823,0.438813925,0.363993049,-0.081943087,0.998460114,0.439679384,0.362687469,-0.081956089,0.998720646,0.436357588,0.367482662,-0.073017135,0.998118401,0.436038435,0.367745996,-0.073044285,0.997922182,0.435702175,0.367941499,-0.073069453,0.998071909,0.443424314,0.360611469,-0.073572002,0.99796176,0.438335896,0.366098523,-0.038237877,0.993816614,0.440661192,0.37625578,-0.077229239,0.999194503,0.4385809,0.378786206,-0.066760823,0.998170078,0.45845589,0.38286379,-0.080958083,0.999741912,0.445554733,0.393506438,-0.000592272,0.999296367,0.462091118,0.435019672,-0.095042698,0.896272719,0.452680767,0.44688803,0.015942439,0.663919389,0.456284046,0.477669239,-0.103961691,0.833187938,0.450796276,0.486828953,-0.016875621,0.654247701,0.455870092,0.492204994,-0.115401171,0.785826921,0.450384378,0.498586178,-0.022188898,0.627761006,0.452537477,0.490979254,-0.116534367,0.78705287,0.449369818,0.497749686,-0.032747645,0.630296767,0.452834189,0.485239089,-0.104025543,0.74384129,0.45021686,0.49235481,-0.022313347,0.60152334,0.477463245,0.45057413,-0.025046801,0.999509394,0.466883183,0.459601939,0.025073368,0.999173701,0.463865817,0.505646706,-0.093083873,0.897288382,0.454840839,0.511032462,-0.034609817,0.786318421,0.463743865,0.578388393,-0.055634834,0.82543546,0.461293876,0.583574951,-0.00469756,0.787631333,0.466038138,0.590381563,-0.052968122,0.785850525,0.463621944,0.593874395,-0.000532097,0.735290229,0.455524504,0.591956496,-0.081968889,0.871116638,0.450680643,0.596281469,-0.037636057,0.827240944,Flick
892,0.436784834,0.372507691,-0.037544236,0.999198854,0.437419802,0.364054799,-0.038833968,0.998606443,0.438172996,0.362976432,-0.038842224,0.998592734,0.438952267,0.361912042,-0.038841449,0.998835444,0.435832322,0.36574322,-0.031208243,0.998285413,0.43552953,0.365796059,-0.031228762,0.998106122,0.435222298,0.365868837,-0.031261794,0.998247564,0.442720026,0.359706074,-0.03706139,0.998139977,0.437914222,0.364716738,-0.002738438,0.994390607,0.439777225,0.375853151,-0.036275052,0.999263167,0.437940538,0.3777197,-0.026518429,0.998326004,0.455897897,0.37885949,-0.054934561,0.999763548,0.44535622,0.394993484,0.030198023,0.999336481,0.458951384,0.429667354,-0.084971622,0.904622734,0.449323356,0.44508642,0.047486514,0.631381869,0.456663072,0.471320838,-0.070182748,0.844156802,0.450170845,0.482582211,0.021672796,0.621320486,0.457322299,0.484546989,-0.080169931,0.797283828,0.450179487,0.493022919,0.018697405,0.592272282,0.45453921,0.483381152,-0.08083193,0.797889054,0.450033754,0.491843581,0.009946347,0.594998837,0.454669237,0.479607046,-0.070188977,0.75299865,0.450830936,0.487568647,0.01725198,0.56871134,0.477647215,0.44497934,-0.024105188,0.999535322,0.467824876,0.456468046,0.024129542,0.999219596,0.466046512,0.504750669,-0.085669637,0.896523774,0.454413354,0.507991672,-0.039803021,0.769088149,0.463928938,0.581082106,-0.077994317,0.835742652,0.461000681,0.582642436,-0.036931761,0.76939857,0.466321796,0.592819691,-0.076901868,0.798089385,0.463181019,0.59283787,-0.037774757,0.722019494,0.454273522,0.603244662,-0.113674186,0.878281415,0.453987122,0.594462097,-0.065951593,0.822654009,Flick
893,0.437597364,0.369439214,-0.083362058,0.999240398,0.437958866,0.361049771,-0.083000824,0.99870652,0.43878293,0.359846711,-0.083017863,0.998691261,0.439724267,0.358599365,-0.083035395,0.998924673,0.436406314,0.363322169,-0.07602901,0.998412669,0.436082035,0.363760263,-0.076055929,0.99824059,0.435732305,0.364271164,-0.076084249,0.998377919,0.443600416,0.357371956,-0.070234515,0.998279154,0.437560946,0.364249617,-0.040889781,0.994809568,0.440635294,0.372794867,-0.078916207,0.999309778,0.438385785,0.37608999,-0.070129588,0.99842298,0.45645833,0.377807438,-0.077417538,0.999781489,0.445382059,0.396400183,0.010834977,0.999331832,0.462158114,0.428360015,-0.09146782,0.912631452,0.450012267,0.444056809,0.022538627,0.596495271,0.456398487,0.468735218,-0.103978738,0.85436213,0.450499594,0.478689402,-0.011637042,0.59134531,0.456221253,0.479952335,-0.116435088,0.807915092,0.447775066,0.493951172,-0.01656238,0.562831759,0.452964455,0.479644895,-0.11777027,0.80840826,0.447225004,0.494181037,-0.028125759,0.566301763,0.453574479,0.474027038,-0.104524449,0.762209237,0.448458493,0.489549965,-0.017452728,0.54281503,0.478550732,0.443770736,-0.025545636,0.999558926,0.468115419,0.453057885,0.025578091,0.999244452,0.466950834,0.505399406,-0.078891091,0.889641464,0.454521477,0.507024944,-0.029785942,0.737976432,0.464436859,0.581807792,-0.068289161,0.846053302,0.460601866,0.577922702,-0.018854553,0.746391118,0.467177719,0.594913483,-0.068832867,0.809690058,0.464903414,0.5890733,-0.020887295,0.706192553,0.456034422,0.595153213,-0.10569229,0.885010302,0.452514648,0.59335196,-0.046283707,0.812556207,Flick
894,0.438060671,0.367069542,-0.075085595,0.999304473,0.438445032,0.359194934,-0.073552683,0.99882555,0.439280927,0.357895344,-0.073566765,0.998808682,0.440210283,0.356563181,-0.073574767,0.999023676,0.436861843,0.361674428,-0.066928908,0.998563111,0.436557919,0.362132281,-0.066946641,0.998404443,0.436247975,0.362618417,-0.066967659,0.998530626,0.443515152,0.355899602,-0.063652046,0.998436928,0.437782586,0.362898201,-0.0319805,0.995299459,0.44108814,0.370138854,-0.07090278,0.999366403,0.438933551,0.37378639,-0.061820429,0.998555958,0.455515385,0.377343178,-0.066218205,0.99979794,0.446546257,0.395357311,0.020282555,0.999344766,0.461194366,0.428749889,-0.078540862,0.919903576,0.452929318,0.440509379,0.039312974,0.559312165,0.456019878,0.469358653,-0.092235669,0.864620149,0.45029974,0.480676115,0.005417477,0.565236986,0.455482483,0.481792301,-0.103173032,0.8187837,0.449207932,0.492353976,0.001954652,0.537437737,0.452500969,0.480660915,-0.103033401,0.819114625,0.448354572,0.492503434,-0.009265983,0.541108727,0.452826351,0.476249099,-0.091742352,0.77258271,0.449601263,0.487740248,-0.00019964,0.518961012,0.478893131,0.441773385,-0.028208962,0.999581575,0.470138252,0.449861169,0.028225463,0.999279976,0.466749847,0.502398133,-0.07862591,0.881505966,0.454352528,0.506420255,-0.02580961,0.7131657,0.46433121,0.581746876,-0.073828049,0.854570627,0.461001575,0.579153299,-0.018616114,0.719963133,0.467856109,0.594532251,-0.074562743,0.821663916,0.464049518,0.589527547,-0.019601371,0.688602328,0.454936683,0.59507823,-0.109100267,0.89170146,0.452432007,0.594080031,-0.04638293,0.799463034,Flick
895,0.438521773,0.366798818,-0.05652089,0.999363005,0.438944012,0.358992487,-0.05368036,0.998933911,0.439832926,0.35768941,-0.053691626,0.998915851,0.440795898,0.356320947,-0.053697001,0.999114454,0.437153876,0.361406475,-0.048267566,0.998699248,0.436783731,0.361818403,-0.048285525,0.998552203,0.436419904,0.362241477,-0.0483086,0.998668849,0.444084704,0.355493128,-0.036037769,0.998579025,0.437962919,0.36252442,-0.012066514,0.995740116,0.44154653,0.370009631,-0.049997333,0.999415696,0.439265966,0.373584807,-0.043037679,0.998673201,0.45549804,0.37838608,-0.052856576,0.999812126,0.445955843,0.393615663,0.032363597,0.999337018,0.461900055,0.42720449,-0.062525176,0.92620039,0.450638771,0.439393967,0.051111937,0.523926973,0.455982924,0.466545105,-0.071970418,0.873007059,0.446914494,0.479709208,0.020239344,0.533812761,0.455478966,0.478008628,-0.08220493,0.827207923,0.445738941,0.491696358,0.017208228,0.506700456,0.451997608,0.47676298,-0.082449138,0.82724613,0.445375592,0.491826743,0.006637125,0.510324538,0.452131659,0.472539425,-0.071840107,0.780223429,0.446677923,0.487132877,0.014869871,0.490501761,0.478495777,0.440788925,-0.027787711,0.999602973,0.469954491,0.447718501,0.027794559,0.999309599,0.466452509,0.499012142,-0.070999026,0.86466068,0.455735028,0.508741617,-0.026682898,0.679381907,0.463034093,0.581587791,-0.075333327,0.854259789,0.461597294,0.577611864,-0.025017515,0.677236915,0.465999603,0.593736649,-0.076647691,0.820950091,0.464618623,0.589362621,-0.02624239,0.652670622,0.453908116,0.595225632,-0.110150978,0.892516017,0.452422321,0.593254685,-0.049712077,0.771609485,Flick
