,F0_x,F0_y,F0_z,F0_vis,F1_x,F1_y,F1_z,F1_vis,F2_x,F2_y,F2_z,F2_vis,F3_x,F3_y,F3_z,F3_vis,F4_x,F4_y,F4_z,F4_vis,F5_x,F5_y,F5_z,F5_vis,F6_x,F6_y,F6_z,F6_vis,F7_x,F7_y,F7_z,F7_vis,F8_x,F8_y,F8_z,F8_vis,F9_x,F9_y,F9_z,F9_vis,F10_x,F10_y,F10_z,F10_vis,F11_x,F11_y,F11_z,F11_vis,F12_x,F12_y,F12_z,F12_vis,F13_x,F13_y,F13_z,F13_vis,F14_x,F14_y,F14_z,F14_vis,F15_x,F15_y,F15_z,F15_vis,F16_x,F16_y,F16_z,F16_vis,F17_x,F17_y,F17_z,F17_vis,F18_x,F18_y,F18_z,F18_vis,F19_x,F19_y,F19_z,F19_vis,F20_x,F20_y,F20_z,F20_vis,F21_x,F21_y,F21_z,F21_vis,F22_x,F22_y,F22_z,F22_vis,F23_x,F23_y,F23_z,F23_vis,F24_x,F24_y,F24_z,F24_vis,F25_x,F25_y,F25_z,F25_vis,F26_x,F26_y,F26_z,F26_vis,F27_x,F27_y,F27_z,F27_vis,F28_x,F28_y,F28_z,F28_vis,F29_x,F29_y,F29_z,F29_vis,F30_x,F30_y,F30_z,F30_vis,F31_x,F31_y,F31_z,F31_vis,F32_x,F32_y,F32_z,F32_vis,Label
5369,0.443674982,0.474998176,-0.139246255,0.998495758,0.446384609,0.467887074,-0.141474098,0.998613656,0.455819905,0.475420684,-0.141464278,0.9983325,0.457651675,0.475884795,-0.141483933,0.99880892,0.443634689,0.466860086,-0.134732291,0.998198211,0.440737009,0.465465158,-0.134782523,0.997416556,0.440820754,0.464833111,-0.134798363,0.99733758,0.463577747,0.481566995,-0.119343743,0.997551858,0.44992432,0.477495492,-0.089192808,0.994376481,0.453332365,0.494109392,-0.128924504,0.997885406,0.443113953,0.480514556,-0.120214999,0.994991541,0.477952659,0.520657241,-0.116386652,0.999448657,0.443486124,0.508457661,-0.050748598,0.995797396,0.472158372,0.538564146,-0.198481053,0.345315516,0.434020996,0.515836895,-0.053034216,0.83858192,0.442190498,0.518395722,-0.244932577,0.525017083,0.425450504,0.51025635,-0.088533148,0.757720351,0.434463352,0.520346761,-0.262444556,0.547721446,0.420345843,0.513539433,-0.094485469,0.687006772,0.431501091,0.513721108,-0.254661411,0.56236738,0.422392428,0.513284445,-0.102267303,0.68874979,0.433620542,0.515532374,-0.241870046,0.542862415,0.4242073,0.514505029,-0.093042806,0.628977537,0.4664886,0.639094174,-0.011803455,0.99977231,0.443210512,0.63287127,0.011707945,0.999500215,0.484329611,0.5453915,-0.11816889,0.733938217,0.4288311,0.546258509,-0.082902357,0.865548849,0.482799202,0.656053305,-0.047097005,0.538205028,0.430270731,0.643759727,-0.024599934,0.415197909,0.487773001,0.670589387,-0.040858399,0.470715374,0.435864508,0.657056749,-0.01933239,0.392341524,0.468780041,0.677992821,-0.077414021,0.673338056,0.416410983,0.668825507,-0.052188627,0.491557807,Straight Drive
5370,0.435294807,0.426187307,-0.076850563,0.998010576,0.439445913,0.41966325,-0.081398502,0.998090446,0.440734059,0.420408964,-0.081423491,0.9980129,0.441926807,0.421077728,-0.081441753,0.998483181,0.437848806,0.418455601,-0.069179885,0.997117817,0.437773764,0.418217689,-0.069216795,0.996359348,0.437751383,0.418003112,-0.069229081,0.996038914,0.448169231,0.428897172,-0.07889419,0.997497201,0.442320406,0.424398303,-0.023039388,0.992168963,0.437769711,0.437947214,-0.074740432,0.997721016,0.435410172,0.436542243,-0.058759619,0.994553328,0.454923153,0.471962154,-0.103750385,0.999486208,0.442120403,0.465776354,0.026676198,0.996027827,0.432176441,0.502018929,-0.165199101,0.406140387,0.443266302,0.499990791,0.041770961,0.765108168,0.407913446,0.507745504,-0.189208567,0.565119863,0.442130476,0.514751971,0.01375298,0.699885428,0.402673662,0.515436649,-0.208846524,0.584112763,0.440955818,0.522370756,0.011839528,0.641835392,0.401319832,0.50845325,-0.204846069,0.59681797,0.441611767,0.520575225,1.62E-05,0.644534945,0.403823376,0.508046329,-0.187604457,0.573115051,0.442145169,0.518659413,0.008110677,0.589811087,0.455951512,0.591213703,-0.03607735,0.999773741,0.439961731,0.589668334,0.036087118,0.999511778,0.46162653,0.552680492,-0.199302837,0.759801567,0.429133236,0.564753115,-0.089552186,0.870654106,0.477129459,0.648340106,-0.141776979,0.583425581,0.416873544,0.638515174,-0.067054726,0.470174879,0.482555479,0.663443446,-0.137540236,0.520174444,0.42273885,0.657498896,-0.067239083,0.448086351,0.460548103,0.677922964,-0.184777156,0.704754591,0.399295181,0.666620255,-0.114880942,0.539257705,Straight Drive
5371,0.448822021,0.193470955,-0.18057251,0.998199463,0.448505461,0.183409378,-0.169009954,0.998258293,0.449272066,0.183307707,-0.169013739,0.998188734,0.450081676,0.183243155,-0.169011563,0.99861151,0.443975389,0.183424443,-0.174676135,0.997388005,0.441288799,0.183605656,-0.17471768,0.996704578,0.438402951,0.183768928,-0.174710616,0.996416867,0.446568191,0.187235191,-0.097604267,0.99772048,0.429501921,0.188570619,-0.122572824,0.992907405,0.449128002,0.205614045,-0.152534977,0.997931004,0.443909705,0.206508994,-0.160077244,0.995078027,0.464063823,0.252642453,-0.083016165,0.999530911,0.403846323,0.259242475,-0.056252133,0.996393919,0.469748318,0.346985877,-0.093690075,0.464234471,0.400318056,0.33778733,-0.068869047,0.782093763,0.436093152,0.380836606,-0.166342646,0.603455484,0.403353602,0.377692074,-0.164680138,0.719458401,0.427307904,0.395201415,-0.192759588,0.616370261,0.403277934,0.39430058,-0.189429224,0.662359655,0.423983902,0.383767873,-0.199921116,0.627851844,0.40631777,0.384803385,-0.203273803,0.665327847,0.425474167,0.378451973,-0.170156062,0.602461338,0.407361448,0.377245158,-0.172221974,0.612904787,0.455633312,0.42089656,-0.028952722,0.999726176,0.421490967,0.418843955,0.028948119,0.999497592,0.452486932,0.526414514,-0.059333481,0.78338486,0.411373556,0.52330488,0.016258657,0.87988925,0.472195625,0.646192193,0.001388562,0.624485075,0.395676851,0.647381783,0.080878504,0.521776557,0.477466196,0.65954411,0.002196661,0.552142024,0.40153259,0.667504609,0.081742048,0.494842589,0.454540968,0.6785326,-0.079460017,0.733185649,0.377180338,0.67448771,0.011880959,0.583233774,Straight Drive
5372,0.446974695,0.193475455,-0.194453597,0.998370886,0.446444124,0.183350652,-0.18346706,0.998415649,0.447383404,0.183267996,-0.183485702,0.998354495,0.44823128,0.18323119,-0.183501288,0.998734355,0.441614479,0.183423638,-0.185677558,0.997631669,0.438967943,0.183608189,-0.185725018,0.997016132,0.436057866,0.18379353,-0.185721353,0.9967556,0.44456321,0.187385365,-0.113941967,0.99793613,0.426756948,0.188806891,-0.124064729,0.993567526,0.448211581,0.205637246,-0.167460337,0.998127818,0.442534506,0.206460863,-0.170468822,0.995551467,0.462136686,0.253486812,-0.108932659,0.999574184,0.40159291,0.258967131,-0.053876281,0.996706843,0.46759662,0.348346353,-0.131599769,0.517130554,0.398212135,0.337938279,-0.068483368,0.788043678,0.425055444,0.381914049,-0.199263573,0.640239835,0.393743157,0.377807617,-0.174568817,0.728120029,0.415324032,0.395927966,-0.227995589,0.649058223,0.390711546,0.394164324,-0.199144796,0.673184991,0.410065353,0.385616809,-0.233685493,0.659458458,0.39115423,0.385220498,-0.218296841,0.677091837,0.413860947,0.380180776,-0.202170879,0.633645952,0.393909514,0.379230022,-0.185220271,0.627119541,0.454207897,0.419023126,-0.032808576,0.999712765,0.42059198,0.418412447,0.032804828,0.999493241,0.450775802,0.526587784,-0.070949063,0.804579139,0.406472147,0.523297191,0.035517078,0.885856092,0.470419228,0.646554232,-0.008152356,0.66139406,0.389816403,0.64669615,0.096274167,0.567138731,0.474737823,0.661371469,-0.006997911,0.582285404,0.394391,0.666812658,0.096752957,0.532428265,0.454539925,0.679728568,-0.090334371,0.758755982,0.37389183,0.675871432,0.026250487,0.621337712,Straight Drive
5373,0.441311359,0.193475485,-0.196290284,0.998530746,0.440576375,0.183237568,-0.184855431,0.998567104,0.441418707,0.183168113,-0.184866413,0.998512089,0.442302614,0.183156416,-0.184862584,0.998853803,0.436195374,0.183403522,-0.187688887,0.997861505,0.433566004,0.183606893,-0.187733755,0.997307122,0.430850208,0.183817074,-0.187733293,0.997072458,0.438893378,0.187401727,-0.113127604,0.998135507,0.42227608,0.189196885,-0.125281423,0.994191587,0.442673385,0.205674008,-0.168593228,0.998310268,0.437301487,0.206389681,-0.172495469,0.995988786,0.456837744,0.253561884,-0.101432607,0.999612272,0.395857751,0.258923173,-0.057258181,0.997000992,0.461927325,0.349982053,-0.120144129,0.564450681,0.390539348,0.339271277,-0.082362577,0.799081862,0.419359028,0.382560194,-0.191643223,0.673467577,0.38829124,0.375219047,-0.204961777,0.743333638,0.408789873,0.396377683,-0.219287679,0.6787889,0.385183871,0.38987422,-0.233546928,0.690652192,0.403577954,0.385871619,-0.226532072,0.688161135,0.386578351,0.381372958,-0.251017123,0.694964707,0.407136351,0.380321473,-0.195239455,0.662023246,0.390437335,0.374593556,-0.215315908,0.647262037,0.449388266,0.419834167,-0.028080815,0.999703646,0.413860708,0.419766396,0.028041983,0.999505997,0.450850308,0.528737843,-0.058356833,0.823758304,0.394937605,0.524438441,0.014210785,0.895883977,0.467627674,0.647652209,0.015021662,0.694783509,0.384902686,0.649356008,0.091972977,0.60959965,0.470914781,0.663176179,0.016264101,0.607528925,0.390276581,0.667393386,0.092963152,0.571762383,0.454308331,0.681927562,-0.075882711,0.78201288,0.369525194,0.680863023,0.024186384,0.657815635,Straight Drive
5374,0.434919834,0.194007829,-0.212129116,0.998670161,0.434550196,0.183465272,-0.201684803,0.998694062,0.435590565,0.18340759,-0.201709479,0.998644352,0.43650499,0.183410093,-0.201728612,0.998952091,0.429787576,0.183776945,-0.20303455,0.998061001,0.427343369,0.184077755,-0.20307675,0.99756074,0.424576283,0.184433892,-0.203073099,0.997350097,0.433751345,0.188154131,-0.130846173,0.998305976,0.417169482,0.189900249,-0.1363758,0.994736612,0.436136007,0.206615984,-0.184458643,0.998465359,0.430407614,0.207036957,-0.186467007,0.99637264,0.450117648,0.25430131,-0.120700106,0.999639809,0.390259922,0.258907914,-0.059547484,0.997243404,0.45390144,0.352147818,-0.142062098,0.60714066,0.382569999,0.339407742,-0.083789676,0.797848642,0.410886437,0.382548749,-0.206715137,0.701263189,0.380939782,0.370692819,-0.204632372,0.740892828,0.401237011,0.394935727,-0.233466178,0.701876938,0.378997117,0.387488633,-0.23079896,0.688368857,0.396599799,0.385429502,-0.238749415,0.710317969,0.380851269,0.377894342,-0.247331291,0.693712294,0.400776386,0.380039513,-0.209284946,0.682645321,0.382984698,0.37188372,-0.214565903,0.647404253,0.438732803,0.421008378,-0.028868224,0.999673903,0.403878301,0.420657903,0.028822815,0.999506772,0.446604729,0.533243835,-0.05172655,0.841093719,0.38887313,0.525033712,0.015267718,0.904852152,0.464092314,0.648102283,0.020414243,0.72500664,0.382199109,0.651438415,0.098048992,0.648057699,0.467252493,0.66361326,0.021706175,0.636536419,0.388166726,0.669156253,0.100261845,0.60994488,0.452352822,0.682287872,-0.065023601,0.803209245,0.364306062,0.682550013,0.03016693,0.690960526,Straight Drive
5375,0.429348856,0.194583833,-0.180736169,0.998799384,0.428896755,0.183828861,-0.169209301,0.998818338,0.429884583,0.183857411,-0.169236034,0.998773992,0.430848539,0.183929831,-0.169273108,0.999050796,0.424360663,0.184176192,-0.169005841,0.998247206,0.421998888,0.184525132,-0.169047803,0.997795701,0.419495761,0.1849657,-0.169002548,0.997606337,0.427433014,0.189312026,-0.10271921,0.998471618,0.412344933,0.190721318,-0.102457561,0.995241463,0.430364221,0.207239911,-0.155386418,0.998616099,0.424996227,0.207435265,-0.155311972,0.996730328,0.443645388,0.257628083,-0.109853432,0.999673903,0.383523941,0.259074926,-0.028265888,0.997475088,0.445744038,0.357595474,-0.131707922,0.646104336,0.372833252,0.340826958,-0.06862928,0.801281333,0.399710476,0.382788032,-0.195798859,0.728387952,0.370204628,0.357067227,-0.199204341,0.747582793,0.392174602,0.402749181,-0.223416358,0.726348937,0.36932382,0.364294946,-0.2268482,0.69807595,0.386528105,0.389125198,-0.22757265,0.733927906,0.371547431,0.352473557,-0.239650205,0.703822017,0.390541434,0.383060545,-0.197926909,0.706859648,0.373354673,0.349355698,-0.208016664,0.659439445,0.426654577,0.426155299,-0.040395446,0.999687493,0.394156456,0.424052805,0.040401146,0.999515235,0.410948426,0.532859325,-0.10690397,0.856356442,0.386845976,0.526265979,0.044426553,0.899690151,0.425606102,0.645406604,-0.049817797,0.752151251,0.410092056,0.651268363,0.115028881,0.679418981,0.432691187,0.658180892,-0.047645893,0.669067919,0.419641882,0.6690799,0.117560484,0.639773846,0.406584203,0.69254303,-0.126099154,0.822358429,0.366708875,0.682311475,0.05599197,0.717702627,Straight Drive
5376,0.42459172,0.197256848,-0.181726724,0.998912811,0.423944235,0.185770631,-0.170516148,0.998923719,0.4249385,0.185874894,-0.170534298,0.998884141,0.425885826,0.185980409,-0.170560598,0.999132395,0.419427812,0.185899884,-0.172062427,0.998408437,0.417007029,0.186110511,-0.172103927,0.997999907,0.414614975,0.186357036,-0.17207931,0.997828126,0.422370523,0.191331401,-0.101152971,0.998616099,0.407239616,0.192095608,-0.108665928,0.995685458,0.425588906,0.20978114,-0.154673517,0.998748541,0.420174032,0.209936827,-0.156978697,0.997047782,0.437498808,0.259308845,-0.098390922,0.999703467,0.376891136,0.258848459,-0.037512526,0.997696936,0.437952995,0.358592898,-0.126057133,0.680893362,0.363728881,0.330179065,-0.080718689,0.808060348,0.394271106,0.382723242,-0.181581452,0.753033876,0.364953995,0.34855929,-0.219231054,0.755261064,0.385255396,0.397129685,-0.206680506,0.748695493,0.361584961,0.35856688,-0.247067779,0.706840932,0.381468177,0.386438072,-0.208661318,0.755453587,0.365157366,0.34551093,-0.259279788,0.712804973,0.384598434,0.382890195,-0.18223685,0.728386581,0.366500437,0.341728061,-0.227840185,0.67010957,0.419974416,0.427596956,-0.039566401,0.999687016,0.387064964,0.425221682,0.039609414,0.999530435,0.423760831,0.536056757,-0.105054043,0.870556653,0.375103533,0.52794677,0.036403921,0.907866776,0.444297403,0.645419836,0.017995922,0.776691616,0.381893784,0.652689517,0.116341874,0.710793018,0.449362338,0.658060014,0.022985261,0.693438292,0.391905516,0.66935885,0.12014576,0.671175241,0.426461071,0.690701246,-0.055608772,0.839599013,0.357040882,0.684101343,0.052251808,0.744730771,Straight Drive
5377,0.419777811,0.200739399,-0.163412005,0.999008119,0.419273615,0.188517302,-0.153220162,0.999006867,0.420283973,0.188617066,-0.153236777,0.998972535,0.421225458,0.188714474,-0.153257221,0.999193549,0.414536387,0.188547343,-0.154748827,0.998539865,0.41208449,0.188588947,-0.154782981,0.998167872,0.409604937,0.188616037,-0.154766291,0.99801141,0.417226702,0.194177225,-0.086823024,0.998740971,0.401879162,0.194421828,-0.092970863,0.99605161,0.420574754,0.213143662,-0.137132615,0.99886328,0.414881617,0.213345826,-0.139362544,0.997325718,0.432450384,0.261048734,-0.086615682,0.999730349,0.372952223,0.258849949,-0.022921011,0.997885346,0.432430565,0.360861808,-0.113367498,0.712158978,0.354015112,0.324506909,-0.068025142,0.810562909,0.388624609,0.382829249,-0.171060592,0.774998724,0.357855856,0.341823876,-0.204450846,0.757976711,0.378008693,0.395076632,-0.196628481,0.768469572,0.356034487,0.354128301,-0.231522486,0.709674239,0.373754919,0.384461731,-0.197548538,0.774452507,0.360779583,0.341656804,-0.247767329,0.715848327,0.378357619,0.382996976,-0.171409652,0.747278512,0.363293886,0.334715426,-0.213257104,0.67490238,0.414812148,0.430052102,-0.037907828,0.9996773,0.382593334,0.42810151,0.037916925,0.999527872,0.421001911,0.535844266,-0.056150399,0.883328915,0.368252695,0.530059874,0.059224486,0.914208412,0.448147684,0.644840598,0.050982524,0.798765063,0.374435604,0.653963745,0.155034781,0.738682151,0.453501076,0.656452358,0.05655412,0.714456379,0.381886691,0.669700503,0.159758627,0.698282957,0.433035284,0.68965745,-0.021055818,0.85512203,0.352059484,0.685953915,0.09389253,0.76857245,Straight Drive
5378,0.41466102,0.202615127,-0.182421669,0.999098539,0.413962752,0.189813271,-0.171044633,0.999087095,0.414996535,0.189910173,-0.171071038,0.999057949,0.415976614,0.189994559,-0.171107784,0.999256194,0.409131348,0.189976886,-0.171921,0.998665512,0.406583875,0.190121859,-0.171955541,0.998327613,0.404081583,0.190280169,-0.171948522,0.998184204,0.41210562,0.195417345,-0.099601716,0.998855114,0.396513551,0.196974218,-0.095816888,0.996397913,0.415941536,0.214975491,-0.154443413,0.998968124,0.40981549,0.215251371,-0.155700222,0.997577012,0.428052723,0.264563233,-0.096274257,0.999753058,0.367715269,0.260818064,-0.025140259,0.9980371,0.427509934,0.365107685,-0.124213621,0.740086675,0.351222485,0.326671183,-0.089925565,0.809904039,0.383779913,0.383060485,-0.181215465,0.793601274,0.350468159,0.337958902,-0.227428228,0.753617167,0.372569501,0.392788619,-0.204759404,0.78423059,0.348539591,0.34488529,-0.255424112,0.705539048,0.369265854,0.383366466,-0.205995291,0.78945297,0.351917446,0.334989965,-0.266488105,0.712023437,0.374138713,0.382896125,-0.181739062,0.761224031,0.35393694,0.332145333,-0.235979244,0.672084033,0.412520021,0.432914734,-0.03448708,0.999640763,0.378284305,0.432169646,0.034478445,0.999517083,0.420196235,0.539010167,-0.081446216,0.894806266,0.359959543,0.530824721,-0.006985759,0.921583116,0.443540275,0.645864427,0.036691166,0.818575442,0.369777799,0.655142367,0.097227678,0.764148593,0.448155165,0.656753957,0.03574983,0.731329799,0.378302842,0.670863926,0.102976084,0.723721981,0.431429327,0.689019799,-0.026602354,0.868941486,0.347253352,0.687749922,0.032463938,0.7905007,Straight Drive
